Names,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgR,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,Cmp%S,Cmp%M,Cmp%L,xA,A-xAG,KP,F3rdPPA,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,BlockedPass,SCA,SCA90,PassLiveSCA,PassDeadSCA,TO,ShToS,Fld,Def,GCA,GCA90,PassLive,PassDead,TOSCA,ShSCA,FldSCA,DefSCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDef,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rdT,Mid 3rdT,Att 3rdT,Att Pen,LiveT,AttTO,Succ%,Tkld,Tkld%,Carries,TotDistC,PrgDistC,PrgC,F3Carry,CPA,Mis,Dis,Rec,CrdY,CrdR,2CrdY,Fls,PKwon,PKcon,OG,Recov,ADWon,ADLost,Playstyles
Jos\xc3\xa9 Arnaiz,1,0.2718,0.0759,0.3477,0.2528,0.019,0.0253,0.1903,0.17,0.0689,0.2389,5.5752,2.0164,0.9355,46.1,0.13,0.27,0.1252,0.08,0.9,1.1,189.1277,32.9456,85.5,79.9,52,0.0613,0.007,0.7143,0.6448,0.3856,0.1138,1.4223,16.9975,0.8091,0.1643,0.019,0.0506,1.1884,0.1327,0.2781,0.1075,0.0316,0,13.6726,0.0885,0.6384,2.0164,0.0159,1.1188,0.1011,0.3097,0.1643,0.3097,0.0126,0.2023,0.0016,0.0759,0,0.0569,0.0316,0.0379,0,0.708,0.4172,0.2339,0.3224,0.1517,0.3224,1.1568,27.9,0.8344,0.7332,0.0442,0.689,0.512,1.22,0.4046,0.0063,29.2794,0.5057,3.1669,10.7459,16.0051,2.9583,29.2541,3.0341,45.2,1.5297,50.4,19.4058,135.1201,60.2402,2.0544,1.5992,1.0619,3.1416,1.7257,21.1568,0.1391,0,0,1.0556,0.019,0,0.0063,3.0973,0.8597,1.1884,Inverted Winger
Sergio Arribas,1,0.3817,0,0.3817,0.3817,0,0,0.4046,0.4046,0.0763,0.4809,4.6565,2.6718,0.9924,37.1,0.14,0.38,1.2672,0.15,-0.3,-0.3,364.4275,92.6718,87.9,83.2,45,0.1221,-0.0763,1.4504,1.8321,1.374,0.0763,4.1221,29.6183,3.2061,1.145,0.1527,0.1527,2.2137,0.458,0.9924,0.5344,0.3053,0,25.7252,0.1527,0.9924,3.5115,0.2687,2.5954,0.458,0.0763,0.0763,0.3053,0,0.1527,0.0115,0.1527,0,0,0,0,0,1.5267,0.7634,0.687,0.8397,0,0.5344,1.145,46.7,0.6107,0.8397,0,0.8397,0.916,2.4427,0.3817,0,44.7328,0.3817,6.1069,19.771,19.4656,3.8168,44.7328,2.6718,48.6,1.2977,48.6,25.1145,148.0153,77.9389,2.3664,1.4504,0.687,1.8321,1.0687,28.5496,0.0763,0,0,0.6107,0,0,0,4.4275,1.2214,1.145,Inverted Winger
Iago Aspas,1,0.5137,0.1801,0.6938,0.4133,0.1004,0.127,0.2566,0.1866,0.1358,0.3224,4.8391,1.8807,1.1426,42.1,0.16,0.36,0.0514,0.13,14.1,15.8,261.8837,58.2167,82.8,77.4,63.6,0.1092,0.0443,1.2725,1.3227,0.8415,0.0827,2.4122,21.8482,1.5707,0.4458,0.1949,0.2716,1.3316,0.2391,0.4458,0.1712,0.1181,0,17.7325,0.1506,0.7145,2.4387,0.0119,1.8158,0.1476,0.1771,0.1417,0.1388,0.0177,0.2952,0.0014,0.1978,0.0089,0.0531,0.0236,0.0118,0,0.313,0.3012,0.0709,0.1329,0.1092,0.0886,0.5108,17.3,0.4222,0.3277,0.0266,0.3012,0.3691,0.6082,0.2687,0.003,29.0286,0.3248,2.176,12.6159,14.5645,2.8816,28.9401,1.3906,59.7,0.5255,37.8,18.5444,106.3389,51.3404,1.8305,1.2046,0.7558,1.1042,0.7234,22.6011,0.2569,0.0089,0.003,0.7529,0.0236,0.0059,0,2.1081,0.4104,0.8149,Complete Forward
Ezequiel \xc3\x81vila,1,0.3509,0.117,0.4678,0.3175,0.0334,0.0418,0.2974,0.2648,0.1345,0.4002,6.1487,3.4419,1.0025,29.1,0.09,0.32,0.1738,0.08,6.4,6.3,270.4929,75.6391,67.3,57.2,46.8,0.1145,-0.0175,1.1362,1.4536,1.0443,0.4344,2.5564,24.0267,1.6876,0.2506,0.1253,0.6516,3.1412,0.4678,0.4511,0.2256,0.1587,0,14.3191,0.3258,1.086,2.5564,0.0216,1.6374,0.117,0.2005,0.2673,0.2924,0.0418,0.284,0.0024,0.1504,0.0251,0.0167,0.0501,0.0418,0,0.8855,0.5263,0.3342,0.3091,0.2423,0.3175,1.2281,25.9,0.9106,0.8688,0.0668,0.802,0.4929,1.3784,0.8855,0.0084,38.1788,0.9524,4.0518,14.8204,19.6658,3.5756,38.137,1.7627,47.9,0.8688,49.3,21.9883,113.868,49.0727,1.7962,1.2448,0.5764,2.1972,1.32,26.9507,0.3759,0.0501,0.0167,1.7544,0.0084,0.0084,0,3.1662,2.5647,3.5756,Complete Forward
C\xc3\xa9sar Azpilicueta,1,0.0232,0.0823,0.1056,0.0232,0,0,0.0158,0.0158,0.0431,0.0589,1.7501,0.2322,0.1119,30,0.07,0.21,0.0338,0.08,-0.5,-0.5,384.0638,136.882,91.6,85,50,0.0435,0.0393,0.3483,1.7606,0.4454,0.1436,2.0773,27.1501,3.1328,0.456,0.0338,0.0823,1.0091,2.6768,0,0,0,0,25.2649,0.0929,0.4855,0.741,0.004,0.6798,0.0127,0.0127,0.019,0.0084,0.0084,0.0866,0.0005,0.0739,0.0021,0.0021,0.0063,0.0021,0,0.9162,0.7009,0.4412,0.3631,0.1119,0.3483,0.6586,52.9,0.3103,0.5658,0.171,0.3948,0.665,1.4313,1.1146,0.0169,34.3129,1.7289,10.9859,16.0144,7.4456,0.608,34.3129,0.2111,57,0.0887,42,18.0958,74.3403,44.6211,0.6291,0.5658,0.0654,0.2808,0.114,22.8689,0.1372,0.0063,0,1.1484,0.0042,0.0042,0.0042,1.9675,0.8085,0.57,Defensive Full Back
Iddrisu Baba,1,0.009,0,0.009,0.009,0,0,0.0349,0.0349,0.026,0.0609,0.3315,0.6004,0.1434,23.9,0.01,0.06,0.2124,0.06,-2.9,-2.9,564.9373,184.7043,84.5,85.5,67.2,0.0287,-0.026,0.3226,3.0824,0.1882,0.0358,3.8441,38.5125,0.7616,0.7168,0.0627,0.2151,0.1523,0.0448,0,0,0,0,31.6308,0.0896,0.7348,1.0036,0.009,0.8333,0,0.0179,0.0448,0.0627,0.0448,0.0448,0.0004,0.0179,0,0,0.0269,0,0,2.2401,1.3441,1.0753,1.0573,0.1075,0.8513,2.0699,41.1,1.2186,0.8871,0.2957,0.5914,1.138,3.3781,1.4695,0.0358,49.5072,2.6613,14.6505,31.4606,4.3369,0.448,49.5072,1.4158,75.3,0.3136,22.2,27.8674,133.6022,53.4319,0.4122,0.6004,0.0269,1.2814,0.9319,27.7778,0.2957,0.009,0,1.7652,0,0.0358,0.009,7.957,2.3118,2.1685,Disruptor
Sr\xc4\x91an Babi\xc4\x87,1,0.0687,0.0295,0.0835,0.0687,0,0,0.0221,0.0221,0.0064,0.0285,0.054,0.2356,0.1178,43.8,0.17,0.33,0.0515,0.12,0.5,0.5,444.2317,148.9298,91.4,92.4,66.4,0.0074,0.0231,0.0736,1.0064,0.0295,0.0147,1.4678,24.2072,0.9229,0.8738,0.0147,0.2111,0.0245,0.0393,0,0,0,0,21.9588,0.0835,0.1276,0.3584,0.0037,0.3142,0,0.0049,0.0295,0.0098,0,0.0344,0.0003,0.0245,0,0,0.0098,0,0,0.4516,0.3093,0.2749,0.162,0.0147,0.2553,0.4173,61.2,0.162,0.3584,0.2356,0.1227,0.5793,0.9867,1.8409,0.0098,29.1507,3.3726,15.7241,12.9013,0.7069,0.3338,29.1507,0.1424,75.9,0.0344,24.1,17.2705,86.3918,52.435,0.2896,0.1571,0.0098,0.1571,0.0442,19.5827,0.1964,0.0049,0.0049,0.5547,0,0,0.0049,2.0373,1.1095,0.6087,Sweeper
Lo\xc3\xafc Bade,1,0.0136,0.0409,0.0545,0.0136,0,0,0.0354,0.0354,0.0163,0.0518,0.109,0.5041,0.1226,24.3,0.03,0.11,0.1717,0.07,-1.6,-1.6,1039.0327,362.1117,90.6,91.3,63.8,0.0191,0.0245,0.2452,2.7793,0.109,0.0681,3.3651,58.4877,1.1717,0.9946,0.0272,0.4632,0.1635,0.1226,0,0,0,0,51.3079,0.1362,0.3542,0.6267,0.0086,0.5177,0.0136,0.0272,0.0681,0,0,0.0954,0.0014,0.0409,0.0136,0,0.0409,0,0,1.6621,1.0627,1.376,0.2725,0.0136,0.8719,1.5531,56.1,0.6812,1.3215,0.7357,0.5858,1.8529,3.515,4.6049,0.0272,71.2807,7.9837,38.3924,31.4986,1.9482,0.6676,71.2807,0.6812,80,0.1226,18,42.6975,259.8774,148.4877,0.9128,0.4632,0.0545,0.5177,0.2044,45.7902,0.2861,0.0409,0.0272,1.1444,0,0.0136,0,6.2807,3.1063,1.8256,Aggressor
Alex Baena,1,0.181,0.1961,0.3771,0.181,0,0,0.2142,0.2142,0.2217,0.4374,6.2896,2.6546,1.0407,39.2,0.07,0.17,0.3183,0.08,-2.2,-2.2,496.6817,150.3167,84.5,77.2,55.7,0.2142,-0.0256,1.5988,3.1071,1.8854,0.362,5.2187,36.5008,2.7903,0.6787,0.6938,0.3017,3.1222,1.0709,0.8748,0.4676,0.2413,0,28.7029,0.4374,1.5234,3.8612,0.0582,2.6244,0.1961,0.4072,0.3771,0.2112,0.0452,0.4223,0.0063,0.3167,0.0302,0.0151,0.0452,0.0151,0,1.4178,0.7692,0.4072,0.6184,0.3922,0.7541,2.2323,33.8,1.4781,0.7391,0.0603,0.6787,0.5581,1.9759,0.4977,0.0151,51.6893,0.9502,6.6365,22.368,23.6048,3.4992,51.6893,3.2278,52.3,1.3725,42.5,33.8462,215.7768,106.5913,3.3333,2.2926,0.8899,2.4133,1.3725,38.2202,0.4977,0.0452,0.0302,2.4133,0.0151,0.0151,0,5.0226,0.2413,1.1011,Creator
Alejandro Balde,1,0.0244,0.1711,0.1956,0.0244,0,0,0.0489,0.0489,0.1443,0.1932,8.6553,0.5379,0.1222,22.7,0.05,0.2,0.4597,0.09,-1,-1,753.0807,156.7237,93.3,89.3,63.6,0.1638,0.0269,0.7579,2.4939,0.9046,0.5379,2.8606,51.956,7.6528,1.0513,0.0244,0.1956,2.3472,6.6015,0,0,0,0,52.6406,0.2445,0.8068,2.176,0.0533,1.7359,0,0.22,0.0489,0.1467,0.0244,0.2689,0.0066,0.2689,0,0,0,0,0,1.4425,0.9291,0.8313,0.4401,0.1711,0.709,1.1736,60.4,0.4645,0.9291,0.1467,0.7824,0.4401,1.8826,0.9291,0.0489,70,1.7604,14.9633,31.2469,24.6699,2.665,70,3.3007,50.4,1.2469,37.8,45.2812,261.956,148.7775,3.912,2.5917,1.198,1.7115,0.9535,49.0954,0.1222,0,0,0.9291,0,0,0,5.11,0.709,0.6846,Offensive Wing Back
Iv\xc3\xa1n Balliu,1,0.0089,0.0444,0.0533,0.0089,0,0,0.0083,0.0083,0.0423,0.0509,2.784,0.1657,0.0473,21.4,0.04,0.19,0.0583,0.05,-0.8,-0.8,393.6686,161.3225,90,79.2,50.8,0.0524,0.0021,0.4615,1.8817,0.568,0.2663,2.4408,23.7308,6.6391,0.4911,0.0118,0.1272,1.8757,6.1331,0.0148,0.0118,0,0,23.5,0.1095,0.8254,1.0947,0.006,0.8491,0.1272,0.0385,0.0089,0.0651,0.0059,0.074,0.0004,0.0562,0.003,0.0059,0,0.0089,0,0.7515,0.5533,0.4201,0.2515,0.0799,0.2929,0.5118,57.2,0.2189,0.4349,0.0976,0.3373,0.7604,1.3254,1.1834,0.0089,35.0207,1.3047,8.8521,16.0621,10.3728,0.5118,35.0207,0.5976,49,0.2781,46.5,16.8314,80.3225,41.4172,1.0503,0.787,0.1036,0.5296,0.1657,20.0385,0.2249,0.0059,0,0.8136,0.003,0.0178,0.0089,2.4734,0.4852,0.5178,Defensive Full Back
Jonathan Bamba,1,0.1892,0.1757,0.3649,0.1622,0.027,0.036,0.1838,0.1554,0.1577,0.3131,7.0856,1.8288,0.7477,38.2,0.09,0.22,0.0914,0.09,-4.8,-4.5,402.2207,110.7703,87.2,79.5,52.4,0.1392,0.018,1.4099,2.2523,1.0811,0.2162,3.3694,32.8378,3.036,0.8063,0.2342,0.1712,2.7477,0.9685,1.1712,0.5,0.464,0.009,27.8559,0.1982,1.1532,3.0315,0.016,2.1126,0.3739,0.2297,0.1532,0.1441,0.018,0.3198,0.0017,0.2162,0.0135,0.0225,0.0405,0.027,0,0.8694,0.518,0.3288,0.3604,0.1802,0.3739,1.3649,27.4,0.991,0.7748,0.0541,0.7207,0.7117,1.5541,0.4099,0.009,46.3243,0.482,4.8468,21.4505,20.8468,2.6667,46.2883,2.8468,43.4,1.527,53.6,31.5811,202.964,97.3649,3.1712,2.3423,0.9144,2.0811,1.9009,33.8243,0.0901,0,0,0.8108,0.0225,0.0045,0,5.2207,0.518,0.8468,Inverted Winger
L\xc3\xa9o Baptist\xc3\xa3o,1,0.2695,0.1299,0.3994,0.2647,0.0048,0.0096,0.1453,0.1415,0.0385,0.18,2.4158,1.872,0.9192,36.5,0.1,0.29,0.0789,0.13,-7.2,-7.4,106.6795,25.7748,77.4,69.9,43.3,0.0395,0.0914,0.3898,0.5438,0.2502,0.0481,0.8807,10.6833,0.4812,0.0192,0.077,0.0818,0.8758,0.1396,0.0096,0,0,0,7.3821,0.0433,0.7026,1.0395,0.0117,0.6449,0.0048,0.1107,0.1396,0.0962,0.0433,0.0914,0.001,0.0577,0,0.0144,0.0096,0.0048,0.0048,0.7315,0.6641,0.231,0.3465,0.154,0.2406,0.7652,31.4,0.5245,0.385,0.0385,0.3465,0.4475,1.025,0.3898,0,16.5544,0.4764,2.4543,7.5602,6.9346,1.5592,16.5496,0.9817,44.1,0.5101,52,9.538,56.0683,30.7652,0.9384,0.6737,0.3032,0.924,0.539,11.0731,0.1829,0,0,1.6795,0.0048,0,0.0048,2.0549,0.693,1.0202,Inverted Winger
Kike Barja,1,0.1141,0.2155,0.3295,0.1141,0,0,0.128,0.128,0.1711,0.2991,9.8226,1.2041,0.4816,40,0.09,0.24,0.2079,0.11,-1.1,-1.1,307.9721,81.6603,81.2,63.4,42.3,0.1458,0.0444,1.2674,1.1027,1.3054,0.6337,2.8264,29.4804,1.5209,0.1267,0.0634,0.1394,5.1331,1.052,0.3042,0.0887,0.076,0,20.3422,0.1901,1.4702,2.7883,0.0355,2.0152,0.1394,0.3042,0.1141,0.1774,0.038,0.4183,0.0053,0.3169,0.0127,0.0253,0.0127,0.038,0.0127,1.1407,0.7858,0.4183,0.3929,0.3295,0.4689,1.4322,32.7,0.9632,0.9506,0.0634,0.8872,0.7731,1.9138,0.3929,0,44.0177,0.5323,4.9303,16.071,23.7516,3.1686,44.0177,5.019,50.5,2.3828,47.5,29.3536,202.4842,96.7934,4.0177,1.8758,1.052,3.0798,2.18,31.7364,0.1774,0,0,1.2674,0.0127,0,0,5.2598,1.0646,1.1534,Wide Winger
Ander Barrenetxea,1,0.2459,0.0615,0.3074,0.2459,0,0,0.1865,0.1865,0.1168,0.3033,8.9344,1.8648,0.7377,39.6,0.13,0.33,0.3566,0.1,2.9,2.9,347.8484,85.3484,83.6,73.9,50.4,0.1025,-0.0553,1.0861,1.3115,1.0861,0.1844,2.7254,31.0041,1.1066,0.1639,0.1434,0.2459,2.1516,0.8811,0.0615,0,0,0,23.1967,0.1434,1.4549,2.7049,0.0555,2.0492,0.0205,0.3689,0.123,0.123,0.0205,0.3074,0.0064,0.2254,0,0.041,0.041,0,0,1.9672,1.209,0.7992,0.8402,0.3279,0.7787,2.1311,36.5,1.3525,1.2295,0.0205,1.209,0.5123,2.4795,0.5123,0,47.623,0.8402,6.7623,18.5656,23.2172,3.6066,47.623,5.9221,51.6,2.623,44.3,31.25,213.0328,98.0533,3.4221,1.9262,1.4754,3.4631,2.3975,33.3607,0.2459,0,0,2.2746,0,0.0205,0,5.6762,0.5533,1.3525,Inverted Winger
Pablo Barrios,1,0,0.1399,0.1399,0,0,0,0.049,0.049,0.1329,0.1818,3.007,1.1888,0.4196,35.3,0,0,1.5944,0.04,-0.7,-0.7,717.4825,213.7063,89,84.3,61.8,0.0839,0.007,0.7692,5.3147,0.9091,0,6.5035,54.7552,1.1189,0.8392,0.2797,0.4196,1.049,0.2098,0.0699,0,0,0,46.014,0.4895,1.3986,2.7273,0.1902,2.3776,0,0.0699,0.2098,0.0699,0,0.2098,0.0147,0.1399,0,0,0.0699,0,0,2.3776,1.2587,0.6294,1.2587,0.4895,0.979,2.0979,46.7,1.1189,1.3986,0.1399,1.2587,1.6084,3.986,0.9091,0.1399,68.951,1.4685,13.9161,38.7413,17.1329,1.2587,68.951,3.986,63.2,1.1888,29.8,42.0979,247.9021,107.0629,2.5175,2.028,0.4196,2.028,1.5385,50.2098,0.4196,0,0,1.1189,0,0,0,6.7133,0.979,0.9091,Box to Box Midfielder
Marc Bartra,1,0.0683,0.0342,0.0949,0.0683,0,0,0.0247,0.0247,0.0197,0.0444,0.1556,0.4934,0.1556,24.6,0.11,0.39,0.074,0.08,1.5,1.5,495.1575,177.7609,91.3,90.9,55.5,0.014,0.0144,0.0949,1.6243,0.0759,0.0114,1.5598,28.8539,1.3245,1.1044,0.0304,0.3567,0.1366,0.2125,0,0,0,0,25.4687,0.1328,0.186,0.3529,0.0027,0.277,0.0038,0.0228,0.0342,0.0076,0.0076,0.019,0.0002,0.0076,0,0,0.0114,0,0,1.0778,0.9108,0.6793,0.3605,0.038,0.5275,0.9677,54.5,0.4402,0.7021,0.3226,0.3795,1.3624,1.9545,2.2315,0.0304,36.2543,3.9317,17.5256,17.3472,1.6167,0.4364,36.2543,0.3491,76.1,0.0835,23.9,20.3681,106.482,63.8406,0.3529,0.4288,0.0417,0.3454,0.1518,23.6433,0.2011,0.0038,0,0.8083,0,0.0304,0,2.5427,1.4421,0.8956,Sweeper
Beb\xc3\xa9,1,0.2289,0.1462,0.3751,0.2161,0.0127,0.0127,0.0922,0.0871,0.0941,0.1812,3.4965,2.6128,1.1062,27.5,0.06,0.2,0.1742,0.04,3.5,3.3,170.9981,41.761,78.2,63.8,42.1,0.0699,0.0521,0.7311,0.6675,0.4959,0.356,0.9917,14.0496,1.5702,0.4832,0.0318,0.3497,5.1367,0.4069,0.6167,0.3242,0.1844,0.0064,9.555,0.1017,0.801,1.602,0.0225,0.8074,0.2861,0.2225,0.1716,0.0826,0.0318,0.1399,0.002,0.0572,0.0318,0.0318,0,0.0127,0.0064,0.5022,0.5785,0.1971,0.1716,0.1335,0.1971,0.6421,30.7,0.445,0.5594,0.0191,0.5404,0.4704,0.7502,0.3369,0.0064,22.6001,0.3624,2.5048,8.9447,11.9644,0.9345,22.5938,2.2568,54.9,0.9345,41.4,14.3484,129.4278,63.2867,2.4857,1.8945,0.4641,1.3668,0.8328,15.0668,0.2225,0,0,1.0045,0.0127,0,0,2.3458,0.5213,0.5467,Wide Winger
H\xc3\xa9ctor Beller\xc3\xadn,1,0.0423,0.1081,0.1504,0.0423,0,0,0.0254,0.0254,0.0602,0.0851,4.0668,0.4937,0.1693,26.7,0.06,0.25,0.0879,0.06,-0.4,-0.4,410.5501,127.1368,89.2,83.3,54.4,0.0743,0.048,0.4843,1.5844,0.7146,0.1787,2.6093,28.5331,5.0729,0.3291,0.0846,0.1081,1.5797,4.7438,0,0,0,0,27.3437,0.0846,0.9309,1.2318,0.0098,1.0766,0.047,0.0376,0.0423,0.0235,0.0047,0.1504,0.0012,0.1269,0,0.0094,0.0094,0.0047,0,0.9215,0.7287,0.4984,0.3197,0.1034,0.4701,1.0061,46.7,0.536,0.6112,0.141,0.4701,0.8322,1.5703,1.2741,0.0423,39.4076,1.7066,10.2116,17.0757,12.346,1.3916,39.4076,0.9826,53.1,0.456,46.4,20.9121,108.1758,60.0141,1.3399,0.9591,0.2633,0.6582,0.4184,24.504,0.1598,0.0094,0,0.9074,0.0047,0.0094,0.0141,2.708,0.6958,0.8275,Offensive Wing Back
Jude Bellingham,1,0.2276,0.1545,0.3821,0.2195,0.0081,0.0081,0.2228,0.2163,0.1553,0.3715,4.5122,1.8537,0.6098,32.9,0.12,0.36,0.1439,0.12,0.6,0.4,649.5772,173.252,87.1,85.7,65.2,0.1496,-0.0008,1.1626,4.1057,1.2927,0.0976,5.6585,47.2358,1.6911,0.9512,0.3171,0.561,1.3252,0.2602,0.3008,0.1382,0.0732,0.0325,39.7642,0.2764,1.065,3.3333,0.0271,2.3577,0.065,0.3496,0.2114,0.2764,0.0732,0.4472,0.0037,0.3089,0.0163,0.0407,0.0325,0.0325,0.0163,2.3496,1.4797,0.8211,1.1382,0.3902,0.9187,1.9024,48.3,0.9837,1.7967,0.1545,1.6423,1.1463,3.4959,1.0081,0,63.3821,1.3902,9.9593,34.7398,19.374,3.187,63.374,3.4553,56.9,1.2439,36,38.8049,207.2276,99.1707,2.5447,1.748,0.6829,2.2683,1.8699,46.5041,0.2602,0.0081,0.0081,1.4797,0.0163,0.0081,0,5.9593,1.1463,1.4878,Box to Box Midfielder
Fran Beltr\xc3\xa1n,1,0.038,0.0163,0.0543,0.038,0,0,0.0337,0.0337,0.0261,0.0598,1.0103,0.6898,0.1901,27.6,0.06,0.2,0.1374,0.05,-0.2,-0.2,729.3319,167.4742,91.6,93,80.3,0.0353,-0.0098,0.478,3.1939,0.277,0.0598,3.623,44.1554,1.9283,1.4014,0.0272,0.44,0.5649,0.0978,0.3096,0.1032,0.1249,0.0109,41.1407,0.076,0.5269,1.51,0.0095,1.3036,0.076,0.0435,0.0435,0.0272,0.0163,0.0706,0.0004,0.0489,0.0054,0,0.0054,0.0054,0.0054,1.4775,1.0483,0.679,0.6518,0.1467,0.6355,1.711,37.1,1.0755,0.793,0.0978,0.6953,1.0538,2.5312,0.9506,0.0163,53.623,1.6078,12.8571,33.145,8.088,0.2988,53.623,0.9777,72.8,0.2662,27.2,33.5959,166.1488,68.3922,0.7007,0.9886,0.0598,0.9288,0.7496,36.4422,0.1467,0.0054,0,0.793,0,0.0163,0,5.8066,0.3694,1.1407,Box to Box Midfielder
Carlos Benav\xc3\xaddez,1,0.0716,0,0.0716,0.0716,0,0,0.0401,0.0401,0.0158,0.0544,0.2292,0.3295,0.0716,21.7,0.13,0.6,0.3037,0.12,0.2,0.2,193.5244,58.51,77.6,77.9,56,0.0129,-0.0158,0.1719,1.1461,0.0716,0.0143,1.4327,14.0544,0.3438,0.2579,0.0573,0.1433,0.1719,0.0716,0.0143,0,0,0,10.1719,0.086,0.4155,0.4155,0.0153,0.3009,0,0.0143,0.043,0.0287,0.0287,0,0,0,0,0,0,0,0,1.3897,0.7593,0.659,0.616,0.1146,0.4441,0.8453,52.5,0.4011,0.5874,0.1719,0.4155,0.8023,2.192,0.8023,0,19.6418,1.1318,5.3868,11.9628,2.4642,0.2292,19.6418,0.2436,58.8,0.1003,41.2,7.937,39.298,19.0974,0.3152,0.2292,0.043,0.4011,0.3438,9.298,0.616,0.0716,0.0573,1.2321,0,0.0143,0,2.2779,1.0458,0.7307,Disruptor
Yuri Berchiche,1,0.0605,0.0945,0.155,0.0605,0,0,0.0227,0.0227,0.0442,0.0669,2.6389,0.7032,0.2004,25.3,0.07,0.3,0.0817,0.05,4,4,398.5293,151.1493,89.2,82,60.6,0.0465,0.0503,0.4234,2.0302,0.6125,0.2647,2.8507,25.7467,5.7845,0.6805,0.0227,0.3629,2.552,5.0851,0.0189,0.0038,0.0038,0,25.5085,0.121,0.7675,1.0246,0.0069,0.8053,0.0681,0.0265,0.0491,0.0605,0.0151,0.1059,0.0007,0.0794,0.0038,0.0038,0.0076,0.0113,0,0.9376,0.9641,0.5142,0.2911,0.1323,0.431,0.828,52.1,0.397,0.5784,0.1399,0.4386,1.1758,1.569,1.2779,0.0076,37.482,1.5766,9.8526,17.7089,10.3403,0.7524,37.482,0.8355,57.5,0.3403,40.7,19.4026,105.5577,57.4669,1.3951,1.1078,0.189,0.673,0.3214,21.603,0.2987,0.0113,0.0038,0.9452,0.0113,0.0189,0,3.6711,1.0435,0.4915,Defensive Full Back
\xc3\x81lex Berenguer,1,0.1678,0.1678,0.3356,0.1622,0.0056,0.0112,0.1365,0.1275,0.1409,0.2685,6.1913,1.415,0.5761,34.4,0.1,0.28,0.1018,0.1,1.6,2.2,278.3613,83.7696,84,66.5,38.1,0.137,0.0268,1.3479,1.0179,1.0067,0.3188,2.3378,23.8255,4.0716,1.0067,0.1063,0.1454,4.4407,0.906,2.0973,0.6991,0.7271,0.0224,18.9989,0.2013,1.057,2.7517,0.0212,1.6163,0.5928,0.2349,0.1174,0.1454,0.0447,0.2796,0.0022,0.1734,0.0447,0.0224,0.0112,0.0168,0.0112,1.2696,1.0682,0.4978,0.5537,0.2181,0.4083,1.4262,28.6,1.0179,1.0682,0.0783,0.9899,0.7494,1.7226,0.5872,0,38.1264,0.6879,4.821,13.9374,20.0336,2.5168,38.1152,2.6678,51.8,1.2584,47.2,21.3647,142.2707,71.8512,2.3602,1.7002,0.7271,1.9519,1.4541,25.2964,0.2181,0.0112,0,1.7394,0.0112,0.0056,0,3.2998,0.9284,1.4262,Inverted Winger
Daley Blind,1,0.0437,0.0718,0.1154,0.0437,0,0,0.0265,0.0265,0.0393,0.0658,1.1669,0.3744,0.2059,25,0.07,0.21,0.0646,0.08,-1.5,-1.5,605.014,268.1466,92.4,90.8,65.7,0.0686,0.0324,0.3744,4.9735,0.7832,0.0967,5.4446,36.3588,1.9594,0.7176,0.0437,0.2902,0.8362,1.039,0.0874,0.0062,0.0437,0,33.1888,0.1373,0.3401,1.142,0.0084,0.986,0.0499,0.0218,0.0468,0.0187,0.0187,0.1498,0.0011,0.1248,0.0031,0.0031,0.0062,0.0062,0.0062,0.6802,0.4836,0.2871,0.3089,0.0842,0.2995,0.6115,49,0.312,0.4899,0.1747,0.3151,0.7426,1.2855,0.8924,0.0281,42.3682,2.0437,11.4883,24.5398,6.6802,0.5335,42.3682,0.4649,73.2,0.1186,25.5,28.3214,141.8627,88.0187,0.8986,0.7832,0.0593,0.3557,0.2527,30.3276,0.0842,0,0,0.8518,0,0.0062,0,3.3573,0.7582,0.6053,Defensive Full Back
Lucas Boy\xc3\xa9,1,0.2203,0.1133,0.3335,0.214,0.0063,0.0126,0.151,0.141,0.0548,0.1951,3.2977,1.8754,0.5727,29.2,0.08,0.29,0.0969,0.1,1,1.6,156.9415,30.7237,82.5,75.8,70.7,0.0289,0.0585,0.5853,0.7867,0.3587,0.0503,1.4412,14.1724,1.0761,0.0126,0.0378,0.1888,0.5727,0.0315,0.0063,0.0063,0,0,11.3971,0.1259,0.6671,1.5796,0.0157,1.0195,0,0.2958,0.1322,0.0881,0.0441,0.1762,0.0018,0.107,0,0.0378,0.0126,0,0.0189,1.0824,0.8496,0.3084,0.5664,0.2077,0.3272,0.9755,33.5,0.6482,0.8496,0.0755,0.7741,0.516,1.4286,0.7741,0,26.6709,0.9377,2.6746,13.6941,10.8748,2.5488,26.6583,3.0396,57.3,1.2587,41.4,16.8785,89.6728,33.9648,1.2524,0.9251,0.516,3.5368,2.0013,19.0686,0.2329,0.0252,0.0063,2.297,0.0063,0,0,2.467,1.0195,1.7306,Poacher
